Dataset,División,Modelo,Accuracy,Precision,Recall,F1-score,Cross Validation F1
ISOT Fake News Dataset,50/50,Árbol de decisión,0.9929934340986207,0.9926379279758737,0.9932546374367622,0.9929461869482277,0.9953173587164532
ISOT Fake News Dataset,50/50,Naive Bayes,0.9273344203058211,0.9329312207418077,0.9197656874056981,0.9263016759776537,0.9237835421072033
ISOT Fake News Dataset,50/50,Backpropagation,0.9866037985281805,0.9862503326532422,0.9867755391852312,0.9865128660159717,0.9898121889051072
ISOT Fake News Dataset,50/50,k-NN,0.8726038866610849,0.8371437771695379,0.9229608591461791,0.8779602347080924,0.8842856853581592
ISOT Fake News Dataset,50/50,SVM,0.9918917727933724,0.9903548358552341,0.9933433922073311,0.9918468628146048,0.9937685076744834
ISOT Fake News Dataset,50/50,DNN,0.9866037985281805,0.9869414586479524,0.9860655010206799,0.9865032853844787,0.9900366117992574
ISOT Fake News Dataset,50/50,Random Forest,0.9970916141541445,0.996454215051857,0.9976923759652081,0.9970729111229377,0.9974482421996121
ISOT Fake News Dataset,80/20,Árbol de decisión,0.9950429610046265,0.9964396973742768,0.9935655646771688,0.995000555493834,0.9953173587164532
ISOT Fake News Dataset,80/20,Naive Bayes,0.9268561357127121,0.9340411113620962,0.9174617262036832,0.9256771882695322,0.9237835421072033
ISOT Fake News Dataset,80/20,Backpropagation,0.9879929499889843,0.9888839484215207,0.9869092522742401,0.9878956135480289,0.9898121889051072
ISOT Fake News Dataset,80/20,k-NN,0.8739810530953954,0.8373119358074222,0.9261149323274905,0.8794774546986937,0.8842856853581592
ISOT Fake News Dataset,80/20,SVM,0.9930601454064772,0.9920283436669619,0.9940093188373641,0.9930178432893716,0.9937685076744834
ISOT Fake News Dataset,80/20,DNN,0.9881031064111038,0.9886691846256388,0.9873530064344354,0.9880106571936057,0.9900366117992574
ISOT Fake News Dataset,80/20,Random Forest,0.9969156201806565,0.9964531146087342,0.9973374750388285,0.9968950986915058,0.9974482421996121
