Dataset,División,Modelo,Accuracy,Precision,Recall,F1-score,Cross Validation F1
Twitter Spam Dataset,50/50,Árbol de decisión,0.9612347451543432,0.8931750741839762,0.806970509383378,0.847887323943662,0.8725318325204162
Twitter Spam Dataset,50/50,Naive Bayes,0.9676956209619526,1.0,0.7587131367292225,0.8628048780487805,0.9026008109930986
Twitter Spam Dataset,50/50,Backpropagation,0.9824120603015075,0.9969325153374233,0.871313672922252,0.9298998569384835,0.9319260383907156
Twitter Spam Dataset,50/50,k-NN,0.8887293610911702,1.0,0.16890080428954424,0.2889908256880734,0.4877662346096102
Twitter Spam Dataset,50/50,SVM,0.9763101220387652,0.9752321981424149,0.8445040214477212,0.9051724137931034,0.9255857371431798
Twitter Spam Dataset,50/50,DNN,0.9806173725771715,0.9650145772594753,0.8873994638069705,0.9245810055865922,0.9356091228034368
Twitter Spam Dataset,50/50,Random Forest,0.9705671213208902,0.9833887043189369,0.7935656836461126,0.8783382789317508,0.9106492712279664
Twitter Spam Dataset,80/20,Árbol de decisión,0.9721973094170404,0.8933333333333333,0.8993288590604027,0.8963210702341137,0.8725318325204162
Twitter Spam Dataset,80/20,Naive Bayes,0.979372197309417,0.9921875,0.8523489932885906,0.9169675090252708,0.9026008109930986
Twitter Spam Dataset,80/20,Backpropagation,0.9865470852017937,0.9855072463768116,0.912751677852349,0.9477351916376306,0.9319260383907156
Twitter Spam Dataset,80/20,k-NN,0.9004484304932735,1.0,0.2550335570469799,0.40641711229946526,0.4877662346096102
Twitter Spam Dataset,80/20,SVM,0.9874439461883409,0.9856115107913669,0.9194630872483222,0.9513888888888888,0.9255857371431798
Twitter Spam Dataset,80/20,DNN,0.9811659192825112,0.9324324324324325,0.9261744966442953,0.9292929292929293,0.9356091228034368
Twitter Spam Dataset,80/20,Random Forest,0.9820627802690582,0.9777777777777777,0.8859060402684564,0.9295774647887324,0.9106492712279664
